category_id,value_share_pct,cumulative_value_pct,abc_class,inventory_value_index
INV_001,15.161094747989438,15.161094747989438,A,15.161094747989438
INV_002,14.82188005733906,29.982974805328496,A,14.82188005733906
INV_003,11.707279663892805,41.6902544692213,A,11.707279663892805
INV_004,8.565188641575757,50.25544311079706,A,8.565188641575757
INV_005,7.022215979898115,57.277659090695174,A,7.022215979898115
INV_006,6.3030371504405895,63.58069624113576,A,6.3030371504405895
INV_007,3.401856952547326,66.98255319368309,A,3.401856952547326
INV_008,2.570755389954129,69.55330858363722,A,2.570755389954129
INV_009,2.414984026623951,71.96829261026117,B,2.414984026623951
INV_010,2.2427917192013984,74.21108432946257,B,2.2427917192013984
INV_011,1.992413253325281,76.20349758278785,B,1.992413253325281
INV_012,1.9399414638246022,78.14343904661244,B,1.9399414638246022
INV_013,1.8950460354418137,80.03848508205425,B,1.8950460354418137
INV_014,1.876018960999521,81.91450404305377,B,1.876018960999521
INV_015,1.5412511020229742,83.45575514507674,B,1.5412511020229742
INV_016,1.5070795478503212,84.96283469292706,B,1.5070795478503212
INV_017,1.4877325143340163,86.45056720726107,B,1.4877325143340163
INV_018,1.4622609246316691,87.91282813189274,B,1.4622609246316691
INV_019,0.9184968475563906,88.83132497944914,B,0.9184968475563906
INV_020,0.5772072934963154,89.40853227294545,B,0.5772072934963154
INV_021,0.5628177523305159,89.97135002527597,B,0.5628177523305159
INV_022,0.546284410436966,90.51763443571294,C,0.546284410436966
INV_023,0.4966795141849321,91.01431394989787,C,0.4966795141849321
INV_024,0.4643880005666047,91.47870195046447,C,0.4643880005666047
INV_025,0.3928321884043713,91.87153413886884,C,0.3928321884043713
INV_026,0.36513399826074133,92.23666813712958,C,0.36513399826074133
INV_027,0.3596729637609706,92.59634110089056,C,0.3596729637609706
INV_028,0.30337440378961017,92.89971550468016,C,0.30337440378961017
INV_029,0.3027438521250167,93.20245935680518,C,0.3027438521250167
INV_030,0.2922342830557886,93.49469363986097,C,0.2922342830557886
INV_031,0.287925700677402,93.78261934053837,C,0.287925700677402
INV_032,0.27338329850200405,94.05600263904037,C,0.27338329850200405
INV_033,0.26742134446832866,94.3234239835087,C,0.26742134446832866
INV_034,0.26295540516829663,94.586379388677,C,0.26295540516829663
INV_035,0.25698183669516644,94.84336122537216,C,0.25698183669516644
INV_036,0.2435285692131572,95.08688979458532,C,0.2435285692131572
INV_037,0.23386910218015164,95.32075889676547,C,0.23386910218015164
INV_038,0.21013743043999805,95.53089632720547,C,0.21013743043999805
INV_039,0.1839517400408504,95.71484806724632,C,0.1839517400408504
INV_040,0.15918788182657032,95.87403594907289,C,0.15918788182657032
INV_041,0.15748280718274096,96.03151875625564,C,0.15748280718274096
INV_042,0.15220535575822322,96.18372411201386,C,0.15220535575822322
INV_043,0.1508161189356965,96.33454023094956,C,0.1508161189356965
INV_044,0.15005443650306519,96.48459466745263,C,0.15005443650306519
INV_045,0.1318546098774228,96.61644927733005,C,0.1318546098774228
INV_046,0.13113076803785387,96.7475800453679,C,0.13113076803785387
INV_047,0.11989098792032353,96.86747103328823,C,0.11989098792032353
INV_048,0.11271551229329217,96.98018654558152,C,0.11271551229329217
INV_049,0.11271551229329217,97.09290205787481,C,0.11271551229329217
INV_050,0.10715257045378916,97.2000546283286,C,0.10715257045378916
INV_051,0.105885097915869,97.30593972624447,C,0.105885097915869
INV_052,0.10115802105777297,97.40709774730225,C,0.10115802105777297
INV_053,0.09992164524484463,97.5070193925471,C,0.09992164524484463
INV_054,0.09717464298412022,97.60419403553121,C,0.09717464298412022
INV_055,0.08991824094024264,97.69411227647144,C,0.08991824094024264
INV_056,0.08585431110908094,97.77996658758052,C,0.08585431110908094
INV_057,0.08358649814070057,97.86355308572122,C,0.08358649814070057
INV_058,0.08242505419522243,97.94597813991645,C,0.08242505419522243
INV_059,0.07556691502684268,98.02154505494329,C,0.07556691502684268
INV_060,0.07043595540319007,98.09198101034647,C,0.07043595540319007
INV_061,0.06826405522514596,98.16024506557162,C,0.06826405522514596
INV_062,0.06476548633389602,98.22501055190551,C,0.06476548633389602
INV_063,0.06419488016326275,98.28920543206877,C,0.06419488016326275
INV_064,0.06169365442777498,98.35089908649654,C,0.06169365442777498
INV_065,0.05964501717168646,98.41054410366823,C,0.05964501717168646
INV_066,0.057080099348866035,98.4676242030171,C,0.057080099348866035
INV_067,0.05619890058765165,98.52382310360474,C,0.05619890058765165
INV_068,0.054325603901396596,98.57814870750613,C,0.054325603901396596
INV_069,0.054325603901396596,98.63247431140752,C,0.054325603901396596
INV_070,0.04876565933659159,98.68123997074412,C,0.04876565933659159
INV_071,0.04776906549950391,98.72900903624362,C,0.04776906549950391
INV_072,0.04762632029201127,98.77663535653564,C,0.04762632029201127
INV_073,0.04762294835797601,98.82425830489362,C,0.04762294835797601
INV_074,0.04720707649362739,98.87146538138724,C,0.04720707649362739
INV_075,0.04699389533073156,98.91845927671797,C,0.04699389533073156
INV_076,0.04455074179251772,98.96301001851049,C,0.04455074179251772
INV_077,0.04270067398517223,99.00571069249565,C,0.04270067398517223
INV_078,0.03968878757301135,99.04539948006867,C,0.03968878757301135
INV_079,0.03933923041135616,99.08473871048002,C,0.03933923041135616
INV_080,0.037465933725101104,99.12220464420513,C,0.037465933725101104
INV_081,0.037465933725101104,99.15967057793023,C,0.037465933725101104
INV_082,0.034925743418539254,99.19459632134877,C,0.034925743418539254
INV_083,0.03491825023179423,99.22951457158057,C,0.03491825023179423
INV_084,0.034290321182561534,99.26380489276313,C,0.034290321182561534
INV_085,0.033338311806606714,99.29714320456974,C,0.033338311806606714
INV_086,0.03278269200946347,99.3299258965792,C,0.03278269200946347
INV_087,0.03184604366633594,99.36177194024553,C,0.03184604366633594
INV_088,0.03132714048424329,99.39309908072977,C,0.03132714048424329
INV_089,0.03132714048424329,99.424426221214,C,0.03132714048424329
INV_090,0.03132714048424329,99.45575336169824,C,0.03132714048424329
INV_091,0.03090939532320841,99.48666275702145,C,0.03090939532320841
INV_092,0.03067523323742653,99.51733799025888,C,0.03067523323742653
INV_093,0.028575642311471864,99.54591363257035,C,0.028575642311471864
INV_094,0.02622615360757077,99.57213978617791,C,0.02622615360757077
INV_095,0.02381297281633701,99.59595275899424,C,0.02381297281633701
INV_096,0.023715936047988998,99.61966869504224,C,0.023715936047988998
INV_097,0.022225541204404477,99.64189423624664,C,0.022225541204404477
INV_098,0.021730241560558642,99.6636244778072,C,0.021730241560558642
INV_099,0.020606263548805608,99.684230741356,C,0.020606263548805608
INV_100,0.01988804159929542,99.7041187829553,C,0.01988804159929542
INV_101,0.01983409065473127,99.72395287361003,C,0.01983409065473127
INV_102,0.019051427299213913,99.74300430090925,C,0.019051427299213913
INV_103,0.018732966862550552,99.76173726777179,C,0.018732966862550552
INV_104,0.01835830752529954,99.7800955752971,C,0.01835830752529954
INV_105,0.017280787271365634,99.79737636256846,C,0.017280787271365634
INV_106,0.016859670176295496,99.81423603274476,C,0.016859670176295496
INV_107,0.016510487673977555,99.83074652041874,C,0.016510487673977555
INV_108,0.015617299813971142,99.84636382023271,C,0.015617299813971142
INV_109,0.01492268140270777,99.86128650163542,C,0.01492268140270777
INV_110,0.014288008485404556,99.87557451012083,C,0.014288008485404556
INV_111,0.012795740345133779,99.88837025046597,C,0.012795740345133779
INV_112,0.012795740345133779,99.90116599081111,C,0.012795740345133779
INV_113,0.012795740345133779,99.91396173115625,C,0.012795740345133779
INV_114,0.012700951532809273,99.92666268268906,C,0.012700951532809273
INV_115,0.011989098792032353,99.93865178148108,C,0.011989098792032353
INV_116,0.01123978011753033,99.94989156159862,C,0.01123978011753033
INV_117,0.00793790737833717,99.95782946897695,C,0.00793790737833717
INV_118,0.007937532718999921,99.96576700169595,C,0.007937532718999921
INV_119,0.0059945493960161765,99.97176155109197,C,0.0059945493960161765
INV_120,0.005260217095004196,99.97702176818697,C,0.005260217095004196
INV_121,0.005245230721514154,99.98226699890849,C,0.005245230721514154
INV_122,0.004886681735764937,99.98715368064425,C,0.004886681735764937
INV_123,0.004762669495134852,99.99191635013939,C,0.004762669495134852
INV_124,0.004495912047012132,99.9964122621864,C,0.004495912047012132
INV_125,0.0021580377825658236,99.99857029996896,C,0.0021580377825658236
INV_126,0.001429700030949858,99.99999999999991,C,0.001429700030949858
