month,procurement_index,credit_transaction_index
January,97.43308442298142,94.16327930908227
February,101.08937909979099,88.7260756917862
March,123.12751569238681,92.45349075313075
April,42.8772101832775,112.81851240980498
May,139.2196718836432,126.33244130425527
June,96.25313871791998,85.5062005319406
